Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
Prior Malignancy,The yes/no/unknown indicator used to describe the patient's history of prior cancer diagnosis.,"Yes, No, unknown, Not Reported, Not Allowed To Collect",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=3382736&version=2.0,
Prior Treatment,A yes/no/unknown/not applicable indicator related to the administration of therapeutic agents received before the body specimen was collected.,"Yes, No, unknown, Not Reported, Not Allowed To Collect",,,FALSE,Diagnosis,,,
Site of Resection or Biopsy,"The text term used to describe the anatomic site of the resection or biopsy of the patient's malignant disease, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).","Abdomen NOS,Abdominal esophagus,Accessory sinus NOS,Acoustic nerve,Adrenal gland NOS,Ampulla of Vater,Anal canal,Anterior 2/3 of tongue NOS,Anterior floor of mouth,Anterior mediastinum,Anterior surface of epiglottis,Anterior wall of bladder,Anterior wall of nasopharynx,Anus NOS,Aortic body and other paraganglia,Appendix,Ascending colon,Autonomic nervous system NOS,Axillary tail of breast,Base of tongue NOS,Bladder neck,Bladder NOS,Blood,Body of pancreas,Body of penis,Body of stomach,Bone marrow,Bone of limb NOS,Bone NOS,Bones of skull and face and associated joints,Border of tongue,Brain stem,Brain NOS,Branchial cleft,Breast NOS,Broad ligament,Cardia NOS,Carotid body,Cauda equina,Cecum,Central portion of breast,Cerebellum NOS,Cerebral meninges,Cerebrum,Cervical esophagus,Cervix uteri,Choroid,Ciliary body,Cloacogenic zone,Colon NOS,Commissure of lip,Conjunctiva,Connective subcutaneous and other soft tissues of abdomen,Connective subcutaneous and other soft tissues of head face and neck,Connective subcutaneous and other soft tissues of lower limb and hip,Connective subcutaneous and other soft tissues of pelvis,Connective subcutaneous and other soft tissues of thorax,Connective subcutaneous and other soft tissues of trunk NOS,Connective subcutaneous and other soft tissues of upper limb and shoulder,Connective subcutaneous and other soft tissues NOS,Cornea NOS,Corpus uteri,Cortex of adrenal gland,Cranial nerve NOS,Craniopharyngeal duct,Descended testis,Descending colon,Dome of bladder,Dorsal surface of tongue NOS,Duodenum,Endocervix,Endocrine gland NOS,Endometrium,Epididymis,Esophagus NOS,Ethmoid sinus,Exocervix,External ear,External lip NOS,External lower lip,External upper lip,Extrahepatic bile duct,Eye NOS,Eyelid,Fallopian tube,Female genital tract NOS,Floor of mouth NOS,Frontal lobe,Frontal sinus,Fundus of stomach,Fundus uteri,Gallbladder,Gastric antrum,Gastrointestinal tract NOS,Glans penis,Glottis,Greater curvature of stomach NOS,Gum NOS,Hard palate,Head of pancreas,Head face or neck NOS,Heart,Hematopoietic system NOS,Hepatic flexure of colon,Hypopharyngeal aspect of aryepiglottic fold,Hypopharynx NOS,Ileum,Ill-defined sites within respiratory system,Intestinal tract NOS,Intra-abdominal lymph nodes,Intrahepatic bile duct,Intrathoracic lymph nodes,Islets of Langerhans,Isthmus uteri,Jejunum,Kidney NOS,Labium majus,Labium minus,Lacrimal gland,Laryngeal cartilage,Larynx NOS,Lateral floor of mouth,Lateral wall of bladder,Lateral wall of nasopharynx,Lateral wall of oropharynx,Lesser curvature of stomach NOS,Lingual tonsil,Lip NOS,Liver,Long bones of lower limb and associated joints,Long bones of upper limb scapula and associated joints,Lower gum,Lower limb NOS,Lower lobe lung,Lower third of esophagus,Lower-inner quadrant of breast,Lower-outer quadrant of breast,Lung NOS,Lymph node NOS,Lymph nodes of axilla or arm,Lymph nodes of head face and neck,Lymph nodes of inguinal region or leg,Lymph nodes of multiple regions,Main bronchus,Major salivary gland NOS,Male genital organs NOS,Mandible,Maxillary sinus,Meckel diverticulum,Mediastinum NOS,Medulla of adrenal gland,Meninges NOS,Middle ear,Middle lobe lung,Middle third of esophagus,Mouth NOS,Mucosa of lip NOS,Mucosa of lower lip,Mucosa of upper lip,Myometrium,Nasal cavity,Nasopharynx NOS,Nervous system NOS,Nipple,Occipital lobe,Olfactory nerve,Optic nerve,Orbit NOS,Oropharynx NOS,Other ill-defined sites,Other specified parts of female genital organs,Other specified parts of male genital organs,Other specified parts of pancreas,Ovary,Overlapping lesion of accessory sinuses,Overlapping lesion of bladder,Overlapping lesion of bones joints and articular cartilage,Overlapping lesion of bones joints and articular cartilage of limbs,Overlapping lesion of brain,Overlapping lesion of brain and central nervous system,Overlapping lesion of breast,Overlapping lesion of cervix uteri,Overlapping lesion of colon,Overlapping lesion of connective subcutaneous and other soft tissues,Overlapping lesion of corpus uteri,Overlapping lesion of digestive system,Overlapping lesion of endocrine glands and related structures,Overlapping lesion of esophagus,Overlapping lesion of eye and adnexa,Overlapping lesion of female genital organs,Overlapping lesion of floor of mouth,Overlapping lesion of heart mediastinum and pleura,Overlapping lesion of hypopharynx,Overlapping lesion of ill-defined sites,Overlapping lesion of larynx,Overlapping lesion of lip,Overlapping lesion of lip oral cavity and pharynx,Overlapping lesion of lung,Overlapping lesion of major salivary glands,Overlapping lesion of male genital organs,Overlapping lesion of nasopharynx,Overlapping lesion of other and unspecified parts of mouth,Overlapping lesion of palate,Overlapping lesion of pancreas,Overlapping lesion of penis,Overlapping lesion of peripheral nerves and autonomic nervous system,Overlapping lesion of rectum anus and anal canal,Overlapping lesion of respiratory system and intrathoracic organs,Overlapping lesion of retroperitoneum and peritoneum,Overlapping lesion of skin,Overlapping lesion of small intestine,Overlapping lesion of stomach,Overlapping lesion of tongue,Overlapping lesion of tonsil,Overlapping lesion of urinary organs,Overlapping lesion of vulva,Overlapping lesions of oropharynx,Palate NOS,Pancreas NOS,Pancreatic duct,Parametrium,Paraspinal,Parathyroid gland,Paraurethral gland,Parietal lobe,Parotid gland,Pelvic bones sacrum coccyx and associated joints,Pelvic lymph nodes,Pelvis NOS,Penis NOS,Peripheral nerves and autonomic nervous system of abdomen,Peripheral nerves and autonomic nervous system of head face and neck,Peripheral nerves and autonomic nervous system of lower limb and hip,Peripheral nerves and autonomic nervous system of pelvis,Peripheral nerves and autonomic nervous system of thorax,Peripheral nerves and autonomic nervous system of trunk NOS,Peripheral nerves and autonomic nervous system of upper limb and shoulder,Peritoneum NOS,Pharynx NOS,Pineal gland,Pituitary gland,Placenta,Pleura NOS,Postcricoid region,Posterior mediastinum,Posterior wall of bladder,Posterior wall of hypopharynx,Posterior wall of nasopharynx,Posterior wall of oropharynx,Prepuce,Prostate gland,Pylorus,Pyriform sinus,Rectosigmoid junction,Rectum NOS,Renal pelvis,Reticuloendothelial system NOS,Retina,Retromolar area,Retroperitoneum,Rib sternum clavicle and associated joints,Round ligament,Scrotum NOS,Short bones of lower limb and associated joints,Short bones of upper limb and associated joints,Sigmoid colon,Skin of lip NOS,Skin of lower limb and hip,Skin of other and unspecified parts of face,Skin of scalp and neck,Skin of trunk,Skin of upper limb and shoulder,Skin NOS,Small intestine NOS,Soft palate NOS,Specified parts of peritoneum,Spermatic cord,Sphenoid sinus,Spinal cord,Spinal meninges,Spleen,Splenic flexure of colon,Stomach NOS,Subglottis,Sublingual gland,Submandibular gland,Superior wall of nasopharynx,Supraglottis,Tail of pancreas,Temporal lobe,Testis NOS,Thoracic esophagus,Thorax NOS,Thymus,Thyroid gland,Tongue NOS,Tonsil NOS,Tonsillar fossa,Tonsillar pillar,Trachea,Transverse colon,Trigone of bladder,Undescended testis,unknown primary site,Upper gum,Upper limb NOS,Upper lobe lung,Upper respiratory tract NOS,Upper third of esophagus,Upper-inner quadrant of breast,Upper-outer quadrant of breast,Urachus,Ureter,Ureteric orifice,Urethra,Urinary system NOS,Uterine adnexa,Uterus NOS,Uvula,Vagina NOS,Vallecula,Ventral surface of tongue NOS,Ventricle NOS,Vertebral column,Vestibule of mouth,Vulva NOS,Waldeyer ring,Biliary tract NOS,Cheek mucosa,Clitoris,Overlapping lesion of biliary tract,unknown,Not Reported",,,TRUE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=6161034&version=1.0,
Tissue or Organ of Origin,"The text term used to describe the anatomic site of origin, of the patient's malignant disease, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).","Abdomen NOS,Abdominal esophagus,Accessory sinus NOS,Acoustic nerve,Adrenal gland NOS,Ampulla of Vater,Anal canal,Anterior 2/3 of tongue NOS,Anterior floor of mouth,Anterior mediastinum,Anterior surface of epiglottis,Anterior wall of bladder,Anterior wall of nasopharynx,Anus NOS,Aortic body and other paraganglia,Appendix,Ascending colon,Autonomic nervous system NOS,Axillary tail of breast,Base of tongue NOS,Bladder neck,Bladder NOS,Blood,Body of pancreas,Body of penis,Body of stomach,Bone marrow,Bone of limb NOS,Bone NOS,Bones of skull and face and associated joints,Border of tongue,Brain stem,Brain NOS,Branchial cleft,Breast NOS,Broad ligament,Cardia NOS,Carotid body,Cauda equina,Cecum,Central portion of breast,Cerebellum NOS,Cerebral meninges,Cerebrum,Cervical esophagus,Cervix uteri,Choroid,Ciliary body,Cloacogenic zone,Colon NOS,Commissure of lip,Conjunctiva,Connective subcutaneous and other soft tissues of abdomen,Connective subcutaneous and other soft tissues of head face and neck,Connective subcutaneous and other soft tissues of lower limb and hip,Connective subcutaneous and other soft tissues of pelvis,Connective subcutaneous and other soft tissues of thorax,Connective subcutaneous and other soft tissues of trunk NOS,Connective subcutaneous and other soft tissues of upper limb and shoulder,Connective subcutaneous and other soft tissues NOS,Cornea NOS,Corpus uteri,Cortex of adrenal gland,Cranial nerve NOS,Craniopharyngeal duct,Descended testis,Descending colon,Dome of bladder,Dorsal surface of tongue NOS,Duodenum,Endocervix,Endocrine gland NOS,Endometrium,Epididymis,Esophagus NOS,Ethmoid sinus,Exocervix,External ear,External lip NOS,External lower lip,External upper lip,Extrahepatic bile duct,Eye NOS,Eyelid,Fallopian tube,Female genital tract NOS,Floor of mouth NOS,Frontal lobe,Frontal sinus,Fundus of stomach,Fundus uteri,Gallbladder,Gastric antrum,Gastrointestinal tract NOS,Glans penis,Glottis,Greater curvature of stomach NOS,Gum NOS,Hard palate,Head of pancreas,Head face or neck NOS,Heart,Hematopoietic system NOS,Hepatic flexure of colon,Hypopharyngeal aspect of aryepiglottic fold,Hypopharynx NOS,Ileum,Ill-defined sites within respiratory system,Intestinal tract NOS,Intra-abdominal lymph nodes,Intrahepatic bile duct,Intrathoracic lymph nodes,Islets of Langerhans,Isthmus uteri,Jejunum,Kidney NOS,Labium majus,Labium minus,Lacrimal gland,Laryngeal cartilage,Larynx NOS,Lateral floor of mouth,Lateral wall of bladder,Lateral wall of nasopharynx,Lateral wall of oropharynx,Lesser curvature of stomach NOS,Lingual tonsil,Lip NOS,Liver,Long bones of lower limb and associated joints,Long bones of upper limb scapula and associated joints,Lower gum,Lower limb NOS,Lower lobe lung,Lower third of esophagus,Lower-inner quadrant of breast,Lower-outer quadrant of breast,Lung NOS,Lymph node NOS,Lymph nodes of axilla or arm,Lymph nodes of head face and neck,Lymph nodes of inguinal region or leg,Lymph nodes of multiple regions,Main bronchus,Major salivary gland NOS,Male genital organs NOS,Mandible,Maxillary sinus,Meckel diverticulum,Mediastinum NOS,Medulla of adrenal gland,Meninges NOS,Middle ear,Middle lobe lung,Middle third of esophagus,Mouth NOS,Mucosa of lip NOS,Mucosa of lower lip,Mucosa of upper lip,Myometrium,Nasal cavity,Nasopharynx NOS,Nervous system NOS,Nipple,Occipital lobe,Olfactory nerve,Optic nerve,Orbit NOS,Oropharynx NOS,Other ill-defined sites,Other specified parts of female genital organs,Other specified parts of male genital organs,Other specified parts of pancreas,Ovary,Overlapping lesion of accessory sinuses,Overlapping lesion of bladder,Overlapping lesion of bones joints and articular cartilage,Overlapping lesion of bones joints and articular cartilage of limbs,Overlapping lesion of brain,Overlapping lesion of brain and central nervous system,Overlapping lesion of breast,Overlapping lesion of cervix uteri,Overlapping lesion of colon,Overlapping lesion of connective subcutaneous and other soft tissues,Overlapping lesion of corpus uteri,Overlapping lesion of digestive system,Overlapping lesion of endocrine glands and related structures,Overlapping lesion of esophagus,Overlapping lesion of eye and adnexa,Overlapping lesion of female genital organs,Overlapping lesion of floor of mouth,Overlapping lesion of heart mediastinum and pleura,Overlapping lesion of hypopharynx,Overlapping lesion of ill-defined sites,Overlapping lesion of larynx,Overlapping lesion of lip,Overlapping lesion of lip oral cavity and pharynx,Overlapping lesion of lung,Overlapping lesion of major salivary glands,Overlapping lesion of male genital organs,Overlapping lesion of nasopharynx,Overlapping lesion of other and unspecified parts of mouth,Overlapping lesion of palate,Overlapping lesion of pancreas,Overlapping lesion of penis,Overlapping lesion of peripheral nerves and autonomic nervous system,Overlapping lesion of rectum anus and anal canal,Overlapping lesion of respiratory system and intrathoracic organs,Overlapping lesion of retroperitoneum and peritoneum,Overlapping lesion of skin,Overlapping lesion of small intestine,Overlapping lesion of stomach,Overlapping lesion of tongue,Overlapping lesion of tonsil,Overlapping lesion of urinary organs,Overlapping lesion of vulva,Overlapping lesions of oropharynx,Palate NOS,Pancreas NOS,Pancreatic duct,Parametrium,Paraspinal,Parathyroid gland,Paraurethral gland,Parietal lobe,Parotid gland,Pelvic bones sacrum coccyx and associated joints,Pelvic lymph nodes,Pelvis NOS,Penis NOS,Peripheral nerves and autonomic nervous system of abdomen,Peripheral nerves and autonomic nervous system of head face and neck,Peripheral nerves and autonomic nervous system of lower limb and hip,Peripheral nerves and autonomic nervous system of pelvis,Peripheral nerves and autonomic nervous system of thorax,Peripheral nerves and autonomic nervous system of trunk NOS,Peripheral nerves and autonomic nervous system of upper limb and shoulder,Peritoneum NOS,Pharynx NOS,Pineal gland,Pituitary gland,Placenta,Pleura NOS,Postcricoid region,Posterior mediastinum,Posterior wall of bladder,Posterior wall of hypopharynx,Posterior wall of nasopharynx,Posterior wall of oropharynx,Prepuce,Prostate gland,Pylorus,Pyriform sinus,Rectosigmoid junction,Rectum NOS,Renal pelvis,Reticuloendothelial system NOS,Retina,Retromolar area,Retroperitoneum,Rib sternum clavicle and associated joints,Round ligament,Scrotum NOS,Short bones of lower limb and associated joints,Short bones of upper limb and associated joints,Sigmoid colon,Skin of lip NOS,Skin of lower limb and hip,Skin of other and unspecified parts of face,Skin of scalp and neck,Skin of trunk,Skin of upper limb and shoulder,Skin NOS,Small intestine NOS,Soft palate NOS,Specified parts of peritoneum,Spermatic cord,Sphenoid sinus,Spinal cord,Spinal meninges,Spleen,Splenic flexure of colon,Stomach NOS,Subglottis,Sublingual gland,Submandibular gland,Superior wall of nasopharynx,Supraglottis,Tail of pancreas,Temporal lobe,Testis NOS,Thoracic esophagus,Thorax NOS,Thymus,Thyroid gland,Tongue NOS,Tonsil NOS,Tonsillar fossa,Tonsillar pillar,Trachea,Transverse colon,Trigone of bladder,Undescended testis,unknown primary site,Upper gum,Upper limb NOS,Upper lobe lung,Upper respiratory tract NOS,Upper third of esophagus,Upper-inner quadrant of breast,Upper-outer quadrant of breast,Urachus,Ureter,Ureteric orifice,Urethra,Urinary system NOS,Uterine adnexa,Uterus NOS,Uvula,Vagina NOS,Vallecula,Ventral surface of tongue NOS,Ventricle NOS,Vertebral column,Vestibule of mouth,Vulva NOS,Waldeyer ring,Biliary tract NOS,Cheek mucosa,Clitoris,Overlapping lesion of biliary tract,unknown,Not Reported",,,TRUE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=6161035&version=1.0,
Tumor Grade,"Numeric value to express the degree of abnormality of cancer cells, a measure of differentiation and aggressiveness.","G1, G2, G3, G4, GX, GB, High Grade, Intermediate Grade, Low Grade, unknown, Not Reported, Not Applicable",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=2785839&version=2.0,
AJCC Clinical M,Extent of the distant metastasis for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.,"M0, M1, M1a, M1b, M1c, MX, cM0 (i+), unknown, Not Reported",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=3440331&version=1.0,
AJCC Clinical N,Extent of the regional lymph node involvement for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.,"N0, N0 (i+), N0 (i-), N0 (mol+), N0 (mol-), N1, N1a, N1b, N1bI, N1bII, N1bIII, N1bIV, N1c, N1mi, N2, N2a, N2b, N2c, N3, N3a, N3b, N3c, N4, NX, unknown, Not Reported",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=3440330&version=1.0,
AJCC Clinical Stage,"Stage group determined from clinical information on the tumor (T), regional node (N) and metastases (M) and by grouping cases with similar prognosis for cancer.","Stage 0, Stage 0a, Stage 0is, Stage I, Stage IA, Stage IA1, Stage IA2, Stage IB, Stage IB1, Stage IB2, Stage IC, Stage II, Stage IIA, Stage IIA1, Stage IIA2, Stage IIB, Stage IIC, Stage IIC1, Stage III, Stage IIIA, Stage IIIB, Stage IIIC, Stage IIIC1, Stage IIIC2, Stage IS, Stage IV, Stage IVA, Stage IVB, Stage IVC, Stage Tis, Stage X, unknown, Not Reported",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=3440332&version=1.0,
AJCC Clinical T,Extent of the primary cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.,"T0, T1, T1a, T1a1, T1a2, T1b, T1b1, T1b2, T1c, T1mi, T2, T2a, T2a1, T2a2, T2b, T2c, T2d, T3, T3a, T3b, T3c, T3d, T4, T4a, T4b, T4c, T4d, T4e, TX, Ta, Tis, Tis (DCIS), Tis (LCIS), Tis (Paget's), unknown, Not Reported",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=3440328&version=1.0,
AJCC Pathologic M,"Code to represent the defined absence or presence of distant spread or metastases (M) to locations via vascular channels or lymphatics beyond the regional lymph nodes, using criteria established by the American Joint Committee on Cancer (AJCC).","M0, M1, M1a, M1b, M1c, MX, cM0 (i+), unknown, Not Reported",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=3045439&version=1.0,
AJCC Pathologic N,The codes that represent the stage of cancer based on the nodes present (N stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.,"N0, N0 (i+), N0 (i-), N0 (mol+), N0 (mol-), N1, N1a, N1b, N1bI, N1bII, N1bIII, N1bIV, N1c, N1mi, N2, N2a, N2b, N2c, N3, N3a, N3b, N3c, N4, NX, unknown, Not Reported",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=3203106&version=1.0,
AJCC Pathologic Stage,"The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria.","Stage 0, Stage 0a, Stage 0is, Stage I, Stage IA, Stage IA1, Stage IA2, Stage IB, Stage IB1, Stage IB2, Stage IC, Stage II, Stage IIA, Stage IIA1, Stage IIA2, Stage IIB, Stage IIC, Stage IIC1, Stage III, Stage IIIA, Stage IIIB, Stage IIIC, Stage IIIC1, Stage IIIC2, Stage IS, Stage IV, Stage IVA, Stage IVB, Stage IVC, Stage Tis, Stage X, unknown, Not Reported",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=3203222&version=1.0,
AJCC Pathologic T,"Code of pathological T (primary tumor) to define the size or contiguous extension of the primary tumor (T), using staging criteria from the American Joint Committee on Cancer (AJCC).","T0, T1, T1a, T1a1, T1a2, T1b, T1b1, T1b2, T1c, T1mi, T2, T2a, T2a1, T2a2, T2b, T2c, T2d, T3, T3a, T3b, T3c, T3d, T4, T4a, T4b, T4c, T4d, T4e, TX, Ta, Tis, Tis (DCIS), Tis (LCIS), Tis (Paget's), unknown, Not Reported",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=3045435&version=1.0,
AJCC Staging System Edition,"The text term used to describe the version or edition of the American Joint Committee on Cancer Staging Handbooks, a publication by the group formed for the purpose of developing a system of staging for cancer that is acceptable to the American medical profession and is compatible with other accepted classifications.","1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, unknown, Not Reported",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=2722309&version=1.0,
Anaplasia Present,Yes/no/unknown/Not Reported indicator used to describe whether anaplasia was present at the time of diagnosis.,"Yes - Anaplasia Present, No, unknown, Not Reported",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=6059599&version=1.0,
Yes - Anaplasia Present,Indicates anaplasia is present,,Anaplasia Present Type,,FALSE,Diagnosis,,,
Anaplasia Present Type,"The text term used to describe the morphologic findings indicating the presence of a malignant cellular infiltrate characterized by the presence of large pleomorphic cells, necrosis, and high mitotic activity in a tissue sample.","Absent, Diffuse, Equivocal, Focal, Present, Sclerosis, unknown, Not Reported",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=4925534&version=1.0,
Best Overall Response,The best improvement achieved throughout the entire course of protocol treatment.,"AJ-Adjuvant Therapy, CPD-Clinical Progression, CR-Complete Response, CRU-Complete Response Unconfirmed, DU-Disease Unchanged, IMR-Immunoresponse, IPD-Immunoprogression, MR-Minimal/Marginal Response, MX-Mixed Response, Non-CR/Non-PD-Non-CR/Non-PD, NPB-No Palliative Benefit, NR-No Response, PA-Palliative Therapy, PB-Palliative Benefit, PD-Progressive Disease, PPD-Pseudoprogression, PR-Partial Response, PSR-Pseudoresponse, RD-Responsive Disease, RP-Response, RPD-Radiographic Progressive Disease, sCR-Stringent Complete Response, SD-Stable Disease, SPD-Surgical Progression, TE-Too Early, VGPR-Very Good Partial Response",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=2003324&version=4.0,
Breslow Thickness,"The number that describes the distance, in millimeters, between the upper layer of the epidermis and the deepest point of tumor penetration.",,,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=64809&version=3.0,
Classification of Tumor,Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint.,"Primary, Metastasis, Recurrence, Other, unknown, Not Reported, Not Allowed To Collect",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=3288124&version=1.0,
Days to Diagnosis,Number of days between the date used for index and the date the patient was diagnosed with the malignant disease. If not applicable please enter 'Not Applicable',,,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=6154733&version=1.0,regex match \d+$|Not\sApplicable$|unknown$
First Symptom Prior to Diagnosis,Text term used to describe the patient's first symptom experienced prior to diagnosis and thought to be related to the disease.,"Altered Mental Status, Headaches, Motor or Movement Changes, Seizures, Sensory Changes, Visual Changes, unknown, Not Reported",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=6133605&version=1.0,
Gross Tumor Weight,"Numeric value used to describe the gross pathologic tumor weight, measured in grams.",,,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=6133606&version=1.0,
Laterality,"For tumors in paired organs, designates the side on which the cancer originates.","Bilateral, Left, Midline, Right, Unilateral, unknown, Not Reported",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=827&version=3.0,
Lymph Nodes Positive,The number of lymph nodes involved with disease as determined by pathologic examination.,,,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=89&version=3.0,
Lymph Nodes Tested,The number of lymph nodes tested to determine whether lymph nodes were involved with disease as determined by a pathologic examination.,,,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=3&version=3.0,
Lymphatic Invasion Present,"A yes/no indicator to ask if small or thin-walled vessel invasion is present, indicating lymphatic involvement","Yes, No, unknown, Not Reported",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=64171&version=3.0,
Metastasis at Diagnosis,The text term used to describe the extent of metastatic disease present at diagnosis.,"Distant Metastasis, Metastasis NOS, No Metastasis, Regional Metastasis, unknown, Not Reported",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=6133614&version=1.0,
Metastasis at Diagnosis Site,Text term to identify an anatomic site in which metastatic disease involvement is found.,"Abdomen, Adrenal Gland, Ascites, Bone, Bone Marrow, Brain, Cerebrospinal Fluid, Central Nervous System, Colon, Distant Nodes, Distant Organ, Groin, Kidney, Liver,  Lung, Lymph Node, Axillary, Lymph Node, Inguinal, Lymph Node NOS, Mediastinum,  Omentum, Ovary, Pelvis, Peritoneal Cavity,  Peritoneum,  Pleura, Scalp, Skin, Small Intestine, Soft Tissue, Spinal Cord, unknown, Not Reported",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=3029815&version=1.0,
Method of Diagnosis,Text term used to describe the method used to confirm the patients malignant diagnosis.,"Autopsy,Biopsy,Blood Draw,Bone Marrow Aspirate,Core Biopsy,Cytology,Cystoscopy,Debulking,Diagnostic Imaging,Dilation and Curettage Procedure,Enucleation,Excisional Biopsy,Fine Needle Aspiration,Incisional Biopsy,Laparoscopy,Laparotomy,Other,Pap Smear,Physical Exam,Pathologic Review,Surgical Resection,Thoracentesis,Ultrasound Guided Biopsy,unknown,Not Reported",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=6161031&version=1.0,
Mitotic Count,"The number of mitoses identified under the microscope in tumors. The method of counting varies, according to the specific tumor examined. Usually, the mitotic count is determined based on the number of mitoses per high power field (40X) or 10 high power fields.",,,,FALSE,Diagnosis,,,
Percent Tumor Invasion,The percentage of tumor cells spread locally in a malignant neoplasm through infiltration or destruction of adjacent tissue.,,,,FALSE,Diagnosis,,,
Peritoneal Fluid Cytological Status,The text term used to describe the malignant status of the peritoneal fluid determined by cytologic testing.,"Atypical, Malignant, Non-Malignant, Unsatisfactory, unknown, Not Reported",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=6690681&version=1.0,
